,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),change,pred
200152,2001-12-28,1019.9,1036.35,1010.45,1033.8,56360665,1451.51,-1.6492551750822166,6.62095832824707
200201,2002-12-31,1091.85,1100.1,1091.7,1093.5,46467775,1580.75,5.4595336076817595,-0.10706707835197449
200202,2002-01-11,1098.15,1105.9,1073.45,1088.55,71147237,2173.36,-0.45473336089293515,1.1655609607696533
200203,2002-01-18,1109.55,1121.75,1089.05,1093.15,84626074,2710.84,0.4208022686731131,-1.0577168464660645
200204,2002-01-25,1085.85,1089.7,1077.0,1080.1,59839751,1857.72,-1.2082214609758526,0.9380806088447571
200205,2002-02-01,1076.95,1088.05,1076.95,1081.65,58399504,1616.41,0.14329958859152053,4.252018928527832
200206,2002-02-08,1112.8,1131.85,1104.45,1123.75,73014449,2153.26,3.746384872080081,3.275010108947754
200207,2002-02-15,1150.65,1164.1,1150.3,1159.95,67681171,1569.86,3.1208241734557562,1.8633649349212646
200208,2002-02-22,1149.85,1165.7,1145.5,1163.5,53387825,1317.89,0.30511388053287103,1.8719464540481567
200209,2002-03-01,1142.05,1181.25,1135.45,1178.0,68816352,1732.19,1.230899830220713,0.9610967040061951
200210,2002-03-08,1193.6,1199.6,1182.55,1187.65,50281539,1845.85,0.8125289437123808,-1.8498398065567017
200211,2002-03-15,1159.6,1173.75,1159.6,1169.75,61764394,1706.23,-1.5302415045950066,-2.1201565265655518
200212,2002-03-22,1144.5,1148.65,1135.9,1138.45,36787369,1091.75,-2.7493521893802937,0.006420072168111801
200213,2002-03-28,1123.6,1138.45,1123.6,1129.55,55362083,1423.51,-0.787924394670452,2.5332298278808594
200214,2002-04-05,1146.05,1153.3,1139.9,1141.95,40192567,1133.81,1.0858619028854233,1.483147144317627
200215,2002-04-12,1143.25,1151.55,1138.65,1146.5,38866977,1226.92,0.396860008722194,-4.4856061935424805
200216,2002-04-19,1125.55,1127.05,1097.6,1100.3,42127555,1325.67,-4.198854857766068,1.0268484354019165
200217,2002-04-26,1094.25,1103.35,1094.1,1097.4,30866979,946.98,-0.26426098049934965,0.6674457788467407
200218,2002-05-03,1093.4,1098.6,1091.5,1096.95,34201217,874.44,-0.04102283604540275,2.0205752849578857
200219,2002-05-10,1127.05,1127.3,1111.15,1116.4,39471255,949.49,1.7422070942314622,-1.8046637773513794
200220,2002-05-17,1092.8,1099.75,1079.95,1090.65,55619999,1313.48,-2.360977398798881,-1.1280335187911987
200221,2002-05-24,1026.9,1069.2,1026.9,1067.0,51001192,1313.52,-2.2164948453608333,-2.985548496246338
200222,2002-05-31,1032.5,1037.7,1020.1,1028.8,48912840,1410.37,-3.713063763608092,2.3765435218811035
200223,2002-06-07,1063.75,1063.75,1044.35,1048.8,34431823,1040.09,1.9069412662090008,3.9314019680023193
200224,2002-06-14,1081.75,1087.6,1079.45,1085.7,45124098,1083.03,3.3987289306438324,-0.8299359083175659
200225,2002-06-21,1069.5,1069.8,1058.95,1062.55,36400989,971.51,-2.1787210013646505,-0.2803901433944702
200226,2002-06-28,1049.4,1068.9,1049.4,1057.8,42669654,1093.41,-0.4490451881262999,1.5895479917526245
200227,2002-07-05,1071.0,1076.2,1067.45,1073.8,31658677,969.3,1.490035388340473,-1.1330615282058716
200228,2002-07-12,1057.1,1064.9,1054.9,1058.25,31397210,926.29,-1.4694070399243992,-0.9915643334388733
200229,2002-07-19,1041.35,1041.5,1032.25,1035.9,38248003,1027.11,-2.157544164494633,-5.636487007141113
200230,2002-07-26,1001.05,1001.05,972.55,973.5,59582074,1477.41,-6.409861325115572,-0.8585472702980042
